# list of object assets to load in this scene
[ASSETS]
title.txt
brick.txt
mini.txt
portal.txt
Node.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
#0	120	10



#brick
#1	0	180	20	1	20001
#1	20	8	1	1	20001

#nodes:(x, y, Left, Right, Top, Bot, id, isStage, renderid)
#			lef	rig	top	bot	stg
29	64	45	0	1	0	0	0
29	96	45	1	0	1	0	0


#1
29	96	13	0	1	0	1	1
#1.5:
29	128	13	1	1	0	0	0

#2
29	160	13	1	1	0	1	0
#3
29	192	13	1	1	0	0	1
#3.5
29	224	13	1	0	0	1	0
#mush:
29	224	45	1	0	1	0	1
#4:
29	192	45	1	1	0	0	1
#4.5..2.5:
29	160	45	0	1	1	1	0
#spade:
29	160	77	1	0	1	0	1
#castle:
29	128	77	1	1	0	0	1
#castle.5:
29	96	77	0	1	1	1	0
#door:
29	96	60	0	0	0	1	1
#castle.6:
29	96	109	0	1	1	1	0
#5:
29	96	141	0	1	1	0	1
#5.5:
29	128	141	1	1	0	0	0
#6:
29	160	141	1	0	1	0	1
#mush2:
29	128	109	0	1	0	0	1
#bridge:
29	160	109	1	1	0	1	0
#bridge.5:
29	192	109	1	1	0	0	0
#castle final:
29	224	109	1	0	0	0	1

#mini
28	64	45
#Portal 
50	200	160	216	180	5	2

