# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	332	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0


############ TANUKI ################
#IDLE 
13121	243	634	263	661	0
13111	182	634	202	661	0

#WALKING RIGHT
13222	272	634	293	661	0
13223	303	634	323	661	0

#WALKING LEFT
13212	152	634	173	661	0
13213	122	634	142	661	0

#RUNNING RIGHT
13321	331	634	354	661	0
13322	362	634	384	661	0
13323	393	634	413	661	0

#RUNNING LEFT
13311	91	634	114	661	0
13312	61	634	83	661	0
13313	32	632	52	661	0

#JUMP WALK RIGHT & LEFT
13417	392	754	414	780	0
13413	31	754	53	780	0

#JUMP RUN RIGHT & LEFT
13427	361	754	384	780	0
13423	61	754	84	780	0

#SIT RIGHT & LEFT 

13521	422	719	443	736	0
13511	2	719	23	736	0
#BRACE RIGHT & LEFT 
13621	425	633	440	662	0
13611	5	633	20	662	0

###SLAP
#FRONT
13711	215	633	230	661	0

#BACK
13721	215	674	230	701	0
#RIGHT
13741	59	874	81	901	0
#LEFT
13731	28	874	50	901	0

###Fly
#RIGHT
13821	361	714	384	741	0
13822	361	754	384	780	0
#LEFT
13811	61	714	84	741	0
13812	61	754	84	780	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

################TANUKI#############################
1700	13121	100
1702	13111	100

#WALKING RIGHT & LEFT 
1800	13121	100	13222	100	13223	100
1801	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
1900	13321	50	13322	50	13323	50
1901	13311	50	13312	50	13313	50

#JUMP WALK
2100	13417	100
2101	13413	100

#JUMP RUN
2200	13427	100
2201	13423	100

#SIT RIGHT & LEFT 
2300	13521	100
2301	13511	100

#BRACE RIGHT & LEFT 
2000	13621	100
2001	13611	100

#Slap RIGHT & LEFT 
2400	13711	100	13731	100	13721	100	13741	100
2401	13721	100	13741	100	13711	100	13731	100

#fly right and left
2500	13821	100	13822	100
2501	13811	100	13812	100
